QB,Overall,Player Team (Bye),ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,Position,Scoring,RB,WR,TE
47.0,,Tommy DeVito NYG (11),37.0,,,,,44.5,QB,half-ppr,,,
48.0,312.0,Peewee Jarrett,,,,37.0,,82.0,QB,half-ppr,,,
49.0,319.0,Austin Aune,,,,38.0,,38.0,QB,half-ppr,,,
50.0,,Trace McSorley,38.0,,,,,58.5,QB,half-ppr,,,
51.0,,Sam Howell SEA (10),,,,,,39.0,QB,half-ppr,,,
52.0,,Zach Wilson DEN (14),45.0,,,,,45.0,QB,half-ppr,,,
53.0,,Jaren Hall SEA (10),40.0,,,,,68.0,QB,half-ppr,,,
54.0,,Trey Lance DAL (7),,,,,,43.0,QB,half-ppr,,,
55.0,,Devin Leary BAL (14),43.0,,,,,84.5,QB,half-ppr,,,
56.0,,Jarrett Stidham DEN (14),,,,,,44.0,QB,half-ppr,,,
57.0,,Nathan Rourke,46.0,,,,,70.0,QB,half-ppr,,,
58.0,,Matt Barkley,47.0,,,,,47.0,QB,half-ppr,,,
59.0,,Spencer Rattler NO (12),,,,,,47.0,QB,half-ppr,,,
60.0,,Tyson Bagent CHI (7),48.0,,,,,52.5,QB,half-ppr,,,
61.0,,Jameis Winston CLE (10),,,,,,49.0,QB,half-ppr,,,
62.0,,Max Duggan,49.0,,,,,87.0,QB,half-ppr,,,
63.0,,Cooper Rush DAL (7),,,,,,50.0,QB,half-ppr,,,
64.0,,Skylar Thompson PIT (9),50.0,,,,,70.5,QB,half-ppr,,,
65.0,,Jake Browning CIN (12),,,,,,51.0,QB,half-ppr,,,
66.0,,Joe Milton III NE (14),,,,,,53.0,QB,half-ppr,,,
67.0,,Ryan Tannehill,,,,,,54.0,QB,half-ppr,,,
68.0,,Kyle Allen PIT (9),,,,,,55.0,QB,half-ppr,,,
69.0,,Drew Lock NYG (11),,,,,,56.0,QB,half-ppr,,,
70.0,,Andy Dalton CAR (11),,,,,,58.0,QB,half-ppr,,,
71.0,,Tyrod Taylor NYJ (12),,,,,,59.0,QB,half-ppr,,,
72.0,,Marcus Mariota WAS (14),,,,,,60.0,QB,half-ppr,,,
73.0,,Brandon Allen SF (9),,,,,,61.0,QB,half-ppr,,,
74.0,,Mitchell Trubisky BUF (12),,,,,,62.0,QB,half-ppr,,,
75.0,,P.J. Walker,,,,,,63.0,QB,half-ppr,,,
76.0,,Mac Jones JAC (12),,,,,,64.0,QB,half-ppr,,,
77.0,,Bailey Zappe CLE (10),,,,,,65.0,QB,half-ppr,,,
78.0,,Anthony Brown Jr.,,,,,,66.0,QB,half-ppr,,,
79.0,,Dorian Thompson-Robinson CLE (10),,,,,,67.0,QB,half-ppr,,,
80.0,,Josh Johnson BAL (14),,,,,,69.0,QB,half-ppr,,,
81.0,,Taylor Heinicke LAC (5),,,,,,70.0,QB,half-ppr,,,
82.0,,Jeff Driskel WAS (14),,,,,,71.0,QB,half-ppr,,,
83.0,,C.J. Beathard JAC (12),,,,,,72.0,QB,half-ppr,,,
84.0,,Nathan Peterman,,,,,,73.0,QB,half-ppr,,,
85.0,,Nick Mullens MIN (6),,,,,,74.0,QB,half-ppr,,,
86.0,,Mason Rudolph TEN (5),,,,,,75.0,QB,half-ppr,,,
87.0,,Mike White BUF (12),,,,,,76.0,QB,half-ppr,,,
88.0,,Logan Woodside,,,,,,77.0,QB,half-ppr,,,
89.0,,John Wolford JAC (12),,,,,,78.0,QB,half-ppr,,,
90.0,,Brett Rypien MIN (6),,,,,,80.0,QB,half-ppr,,,
91.0,,Easton Stick LAC (5),,,,,,81.0,QB,half-ppr,,,
92.0,,Tyler Huntley MIA (6),,,,,,82.0,QB,half-ppr,,,
93.0,,Jake Fromm DET (5),,,,,,83.0,QB,half-ppr,,,
94.0,,Ben DiNucci NO (12),,,,,,84.0,QB,half-ppr,,,
95.0,,Davis Mills HOU (14),,,,,,85.0,QB,half-ppr,,,
96.0,,Sam Ehlinger IND (14),,,,,,86.0,QB,half-ppr,,,
97.0,,Ian Book,,,,,,87.0,QB,half-ppr,,,
98.0,,Kyle Trask TB (11),,,,,,88.0,QB,half-ppr,,,
99.0,,Desmond Ridder LV (10),,,,,,89.0,QB,half-ppr,,,
100.0,,Malik Willis GB (10),,,,,,90.0,QB,half-ppr,,,
101.0,,Chris Oladokun KC (6),,,,,,92.0,QB,half-ppr,,,
102.0,,Sean Clifford GB (10),,,,,,93.0,QB,half-ppr,,,
103.0,,Stetson Bennett LAR (6),,,,,,95.0,QB,half-ppr,,,
104.0,,Tanner McKee PHI (5),,,,,,97.0,QB,half-ppr,,,
105.0,,Clayton Tune ARI (11),,,,,,98.0,QB,half-ppr,,,
106.0,,Adrian Martinez NYJ (12),,,,,,99.0,QB,half-ppr,,,
107.0,,Jordan Travis NYJ (12),,,,,,102.0,QB,half-ppr,,,
108.0,,Jack Plummer CAR (11),,,,,,103.0,QB,half-ppr,,,
109.0,,Austin Reed CHI (7),,,,,,104.0,QB,half-ppr,,,
110.0,,Jason Bean IND (14),,,,,,105.0,QB,half-ppr,,,
111.0,,Kedon Slovis HOU (14),,,,,,106.0,QB,half-ppr,,,
112.0,,Carter Bradley LV (10),,,,,,107.0,QB,half-ppr,,,
113.0,,John Rhys Plumlee SEA (10),,,,,,108.0,QB,half-ppr,,,
114.0,,Sam Hartman WAS (14),,,,,,109.0,QB,half-ppr,,,
115.0,,Casey Bauman,,,,,,110.0,QB,half-ppr,,,
116.0,,Nate Sudfeld,,,,,,112.0,QB,half-ppr,,,
117.0,,Luis Perez,,,,,,113.0,QB,half-ppr,,,
118.0,,Alex McGough,,,,,,114.0,QB,half-ppr,,,
119.0,,Tim Boyle NYG (11),,,,,,115.0,QB,half-ppr,,,
120.0,,Will Grier DAL (7),,,,,,116.0,QB,half-ppr,,,
121.0,,Jacob Eason,,,,,,117.0,QB,half-ppr,,,
122.0,,Jake Luton,,,,,,118.0,QB,half-ppr,,,
123.0,,Kellen Mond,,,,,,119.0,QB,half-ppr,,,
124.0,,Matt Corral,,,,,,121.0,QB,half-ppr,,,
125.0,,E.J. Perry,,,,,,122.0,QB,half-ppr,,,
126.0,,Dresser Winn,,,,,,123.0,QB,half-ppr,,,
127.0,,Jake Haener NO (12),,,,,,124.0,QB,half-ppr,,,
128.0,,Chevan Cordeiro,,,,,,128.0,QB,half-ppr,,,
129.0,,Emory Jones ATL (12),,,,,,129.0,QB,half-ppr,,,
130.0,,Andrew Peasley,,,,,,130.0,QB,half-ppr,,,
131.0,,John Paddock,,,,,,131.0,QB,half-ppr,,,
132.0,,Rocky Lombardi,,,,,,132.0,QB,half-ppr,,,
133.0,,Tanner Mordecai SF (9),,,,,,133.0,QB,half-ppr,,,
134.0,,Jacob Sirmon,,,,,,134.0,QB,half-ppr,,,
135.0,,Ben Bryant,,,,,,135.0,QB,half-ppr,,,
,1.0,Christian McCaffrey SF (9) O,,1.0,,1.0,1.0,1.0,RB,half-ppr,1.0,,
,4.0,Breece Hall NYJ (12),,2.0,,3.0,2.0,2.3,RB,half-ppr,2.0,,
,5.0,Bijan Robinson ATL (12),,3.0,,2.0,3.0,2.7,RB,half-ppr,3.0,,
,10.0,Jonathan Taylor IND (14),,4.0,,5.0,5.0,4.7,RB,half-ppr,4.0,,
,11.0,Saquon Barkley PHI (5),,5.0,,6.0,4.0,5.0,RB,half-ppr,5.0,,
,13.0,Jahmyr Gibbs DET (5),,7.0,,4.0,6.0,5.7,RB,half-ppr,6.0,,
,16.0,Travis Etienne Jr. JAC (12),,10.0,,7.0,7.0,8.0,RB,half-ppr,7.0,,
,17.0,Derrick Henry BAL (14),,6.0,,9.0,11.0,8.7,RB,half-ppr,8.0,,
,18.0,Kyren Williams LAR (6),,8.0,,8.0,10.0,8.7,RB,half-ppr,9.0,,
,20.0,De'Von Achane MIA (6),,11.0,,10.0,9.0,10.0,RB,half-ppr,10.0,,
,24.0,Josh Jacobs GB (10),,12.0,,11.0,8.0,10.3,RB,half-ppr,11.0,,
,21.0,Isiah Pacheco KC (6),,9.0,,12.0,12.0,11.0,RB,half-ppr,12.0,,
,35.0,Rachaad White TB (11),,14.0,,13.0,14.0,13.7,RB,half-ppr,13.0,,
,36.0,James Cook BUF (12),,15.0,,14.0,13.0,14.0,RB,half-ppr,14.0,,
,42.0,Joe Mixon HOU (14),,13.0,,15.0,17.0,15.0,RB,half-ppr,15.0,,
,43.0,Kenneth Walker III SEA (10),,16.0,,16.0,15.0,15.7,RB,half-ppr,16.0,,
,45.0,Alvin Kamara NO (12),,17.0,,17.0,16.0,16.7,RB,half-ppr,17.0,,
,53.0,Aaron Jones Sr. MIN (6),,19.0,,18.0,20.0,19.0,RB,half-ppr,18.0,,
,55.0,James Conner ARI (11),,20.0,,19.0,21.0,20.0,RB,half-ppr,19.0,,
,58.0,Rhamondre Stevenson NE (14),,21.0,,22.0,19.0,20.7,RB,half-ppr,20.0,,
,57.0,David Montgomery DET (5),,18.0,,20.0,25.0,21.0,RB,half-ppr,21.0,,
,62.0,D'Andre Swift CHI (7),,25.0,,21.0,18.0,21.3,RB,half-ppr,22.0,,
,69.0,Zamir White LV (10) O,,24.0,,24.0,22.0,23.3,RB,half-ppr,23.0,,
,68.0,Najee Harris PIT (9),,23.0,,23.0,24.0,23.3,RB,half-ppr,24.0,,
,72.0,Raheem Mostert,,22.0,,25.0,27.0,24.7,RB,half-ppr,25.0,,
,79.0,Javonte Williams DEN (14),,27.0,,30.0,23.0,26.7,RB,half-ppr,26.0,,
,80.0,Tony Pollard TEN (5),,26.0,,26.0,28.0,26.7,RB,half-ppr,27.0,,
,84.0,Devin Singletary NYG (11),,29.0,,33.0,26.0,29.3,RB,half-ppr,28.0,,
,86.0,Zack Moss CIN (12) O,,31.0,,28.0,31.0,30.0,RB,half-ppr,29.0,,
,90.0,Brian Robinson Jr. WAS (14),,28.0,,34.0,29.0,30.3,RB,half-ppr,30.0,,
,88.0,Jaylen Warren PIT (9),,30.0,,31.0,30.0,30.3,RB,half-ppr,31.0,,
,92.0,Nick Chubb CLE (10) O,,32.0,,27.0,37.0,32.0,RB,half-ppr,32.0,,
,94.0,Austin Ekeler WAS (14),,34.0,,32.0,34.0,33.3,RB,half-ppr,33.0,,
,97.0,Jonathon Brooks CAR (11) O,,36.0,,29.0,36.0,33.7,RB,half-ppr,34.0,,
,98.0,Tyjae Spears TEN (5),,33.0,,36.0,35.0,34.7,RB,half-ppr,35.0,,
,106.0,Jerome Ford CLE (10),,37.0,,40.0,32.0,36.3,RB,half-ppr,36.0,,
,104.0,Chase Brown CIN (12),,35.0,,41.0,33.0,36.3,RB,half-ppr,37.0,,
,112.0,Gus Edwards LAC (5),,38.0,,35.0,43.0,38.7,RB,half-ppr,38.0,,
,113.0,Ezekiel Elliott,,39.0,,38.0,40.0,39.0,RB,half-ppr,39.0,,
,116.0,Trey Benson ARI (11),,40.0,,37.0,41.0,39.3,RB,half-ppr,40.0,,
,119.0,Blake Corum LAR (6),,42.0,,39.0,38.0,39.7,RB,half-ppr,41.0,,
,128.0,Chuba Hubbard CAR (11),,48.0,,43.0,39.0,43.3,RB,half-ppr,42.0,,
,129.0,J.K. Dobbins LAC (5),,47.0,,44.0,42.0,44.3,RB,half-ppr,43.0,,
,131.0,Rico Dowdle DAL (7),,45.0,,45.0,44.0,44.7,RB,half-ppr,44.0,,
,141.0,Zach Charbonnet SEA (10),,54.0,,42.0,47.0,47.7,RB,half-ppr,45.0,,
,144.0,Jaylen Wright MIA (6),,49.0,,47.0,48.0,48.0,RB,half-ppr,46.0,,
,147.0,Ty Chandler MIN (6),,55.0,,46.0,45.0,48.7,RB,half-ppr,47.0,,
,154.0,MarShawn Lloyd GB (10),,46.0,,49.0,52.0,49.0,RB,half-ppr,48.0,,
,151.0,Jaleel McLaughlin DEN (14),,52.0,,52.0,46.0,50.0,RB,half-ppr,49.0,,
,155.0,Ray Davis BUF (12),,43.0,,54.0,54.0,50.3,RB,half-ppr,50.0,,
,157.0,Antonio Gibson NE (14),,50.0,,51.0,51.0,50.7,RB,half-ppr,51.0,,
,158.0,Tyler Allgeier ATL (12),,57.0,,48.0,49.0,51.3,RB,half-ppr,52.0,,
,172.0,Bucky Irving TB (11),,51.0,,59.0,53.0,54.3,RB,half-ppr,53.0,,
,180.0,Jordan Mason SF (9),,44.0,,71.0,50.0,55.0,RB,half-ppr,54.0,,
,176.0,Kimani Vidal LAC (5),,56.0,,53.0,56.0,55.0,RB,half-ppr,55.0,,
,179.0,Khalil Herbert CIN (12),,53.0,,58.0,57.0,56.0,RB,half-ppr,56.0,,
,199.0,Braelon Allen NYJ (12),,,,55.0,55.0,55.0,RB,half-ppr,57.0,,
,204.0,Tyrone Tracy Jr. NYG (11),,,,56.0,58.0,57.0,RB,half-ppr,58.0,,
,216.0,Tank Bigsby JAC (12),,,,63.0,60.0,61.5,RB,half-ppr,59.0,,
,222.0,Alexander Mattison LV (10),,,,65.0,62.0,63.5,RB,half-ppr,60.0,,
,225.0,Audric Estime DEN (14),,,,61.0,68.0,64.5,RB,half-ppr,61.0,,
,237.0,Kendre Miller NO (12),,,,50.0,81.0,65.5,RB,half-ppr,62.0,,
,232.0,Roschon Johnson CHI (7),,,,67.0,66.0,66.5,RB,half-ppr,63.0,,
,229.0,Dameon Pierce HOU (14),,,,60.0,74.0,67.0,RB,half-ppr,64.0,,
,249.0,Clyde Edwards-Helaire NO (12),,,,62.0,73.0,67.5,RB,half-ppr,65.0,,
,243.0,Will Shipley PHI (5),,,,64.0,71.0,67.5,RB,half-ppr,66.0,,
,236.0,Jamaal Williams NO (12),,,,75.0,61.0,68.0,RB,half-ppr,67.0,,
,245.0,Justice Hill BAL (14),,,,72.0,65.0,68.5,RB,half-ppr,68.0,,
,252.0,Kenneth Gainwell PHI (5),,,,76.0,64.0,70.0,RB,half-ppr,69.0,,
,257.0,Samaje Perine KC (6),,,,85.0,59.0,72.0,RB,half-ppr,70.0,,
,262.0,Keaton Mitchell BAL (14),,,,68.0,76.0,72.0,RB,half-ppr,71.0,,
,266.0,Dalvin Cook,,,,,63.0,63.0,RB,half-ppr,72.0,,
,274.0,Isaac Guerendo SF (9),,,,69.0,80.0,74.5,RB,half-ppr,73.0,,
,270.0,Trey Sermon IND (14),,,,74.0,77.0,75.5,RB,half-ppr,74.0,,
,278.0,Kareem Hunt KC (6),,,,,67.0,67.0,RB,half-ppr,75.0,,
,283.0,D'Onta Foreman CLE (10),,,,70.0,82.0,76.0,RB,half-ppr,76.0,,
,279.0,Dylan Laube LV (10),,,,73.0,79.0,76.0,RB,half-ppr,77.0,,
,280.0,Cam Akers MIN (6),,,,,69.0,69.0,RB,half-ppr,78.0,,
,281.0,Carson Steele KC (6),,,,,70.0,70.0,RB,half-ppr,79.0,,
,286.0,Miles Sanders CAR (11),,,,87.0,72.0,79.5,RB,half-ppr,80.0,,
,294.0,Eric Gray NYG (11),,,,,75.0,75.0,RB,half-ppr,81.0,,
,312.0,Deuce Vaughn DAL (7),,,,77.0,,77.0,RB,half-ppr,82.0,,
,307.0,Cordarrelle Patterson PIT (9),,,,,78.0,78.0,RB,half-ppr,83.0,,
,313.0,Larry Rose III,,,,78.0,,78.0,RB,half-ppr,84.0,,
,316.0,J.J. Taylor HOU (14),,,,79.0,,79.0,RB,half-ppr,85.0,,
,321.0,Rasheen Ali BAL (14),,,,80.0,,80.0,RB,half-ppr,86.0,,
,323.0,Isaiah Bowser,,,,81.0,,81.0,RB,half-ppr,87.0,,
,325.0,Frank Gore Jr. BUF (12),,,,82.0,,82.0,RB,half-ppr,88.0,,
,330.0,Mark Ingram II,,,,83.0,,83.0,RB,half-ppr,89.0,,
,327.0,Emanuel Wilson GB (10),,,,,83.0,83.0,RB,half-ppr,90.0,,
,331.0,Jeff Wilson Jr. MIA (6),,,,,84.0,84.0,RB,half-ppr,91.0,,
,333.0,Evan Hull PIT (9),,,,84.0,,84.0,RB,half-ppr,92.0,,
,334.0,Wendell Smallwood,,,,86.0,,86.0,RB,half-ppr,93.0,,
,338.0,James White,,,,88.0,,88.0,RB,half-ppr,94.0,,
,2.0,Tyreek Hill MIA (6),,1.0,,1.0,2.0,1.3,WR,half-ppr,,1.0,
,3.0,CeeDee Lamb DAL (7),,2.0,,2.0,1.0,1.7,WR,half-ppr,,2.0,
,6.0,Justin Jefferson MIN (6),,4.0,,3.0,4.0,3.7,WR,half-ppr,,3.0,
,7.0,Ja'Marr Chase CIN (12),,3.0,,4.0,5.0,4.0,WR,half-ppr,,4.0,
,8.0,Amon-Ra St. Brown DET (5),,5.0,,5.0,3.0,4.3,WR,half-ppr,,5.0,
,9.0,A.J. Brown PHI (5),,6.0,,6.0,6.0,6.0,WR,half-ppr,,6.0,
,12.0,Garrett Wilson NYJ (12),,7.0,,7.0,7.0,7.0,WR,half-ppr,,7.0,
,14.0,Puka Nacua LAR (6),,8.0,,9.0,8.0,8.3,WR,half-ppr,,8.0,
,15.0,Marvin Harrison Jr. ARI (11),,9.0,,8.0,9.0,8.7,WR,half-ppr,,9.0,
,19.0,Davante Adams NYJ (12),,10.0,,11.0,10.0,10.3,WR,half-ppr,,10.0,
,22.0,Drake London ATL (12),,12.0,,10.0,11.0,11.0,WR,half-ppr,,11.0,
,25.0,Chris Olave NO (12),,13.0,,12.0,15.0,13.3,WR,half-ppr,,12.0,
,27.0,Deebo Samuel Sr. SF (9),,14.0,,14.0,13.0,13.7,WR,half-ppr,,13.0,
,28.0,Nico Collins HOU (14),,17.0,,16.0,12.0,15.0,WR,half-ppr,,14.0,
,33.0,Brandon Aiyuk SF (9) O,,15.0,,13.0,20.0,16.0,WR,half-ppr,,15.0,
,32.0,Mike Evans TB (11),,11.0,,15.0,23.0,16.3,WR,half-ppr,,16.0,
,34.0,Cooper Kupp LAR (6),,16.0,,20.0,16.0,17.3,WR,half-ppr,,17.0,
,40.0,DK Metcalf SEA (10),,18.0,,21.0,17.0,18.7,WR,half-ppr,,18.0,
,38.0,DJ Moore CHI (7),,19.0,,19.0,18.0,18.7,WR,half-ppr,,19.0,
,41.0,Jaylen Waddle MIA (6),,20.0,,18.0,19.0,19.0,WR,half-ppr,,20.0,
,39.0,Michael Pittman Jr. IND (14),,21.0,,23.0,14.0,19.3,WR,half-ppr,,21.0,
,44.0,Stefon Diggs HOU (14) O,,23.0,,17.0,21.0,20.3,WR,half-ppr,,22.0,
,46.0,DeVonta Smith PHI (5),,22.0,,24.0,22.0,22.7,WR,half-ppr,,23.0,
,49.0,Malik Nabers NYG (11),,25.0,,22.0,24.0,23.7,WR,half-ppr,,24.0,
,54.0,Amari Cooper BUF (12),,24.0,,27.0,27.0,26.0,WR,half-ppr,,25.0,
,63.0,Zay Flowers BAL (14),,28.0,,25.0,31.0,28.0,WR,half-ppr,,26.0,
,59.0,George Pickens PIT (9),,29.0,,29.0,26.0,28.0,WR,half-ppr,,27.0,
,60.0,Tee Higgins CIN (12),,27.0,,28.0,29.0,28.0,WR,half-ppr,,28.0,
,64.0,Tank Dell HOU (14) O,,26.0,,26.0,33.0,28.3,WR,half-ppr,,29.0,
,67.0,Terry McLaurin WAS (14),,30.0,,32.0,28.0,30.0,WR,half-ppr,,30.0,
,70.0,Rashee Rice KC (6) O,,31.0,,38.0,25.0,31.3,WR,half-ppr,,31.0,
,74.0,Christian Kirk JAC (12) O,,33.0,,31.0,30.0,31.3,WR,half-ppr,,32.0,
,76.0,Keenan Allen CHI (7),,32.0,,30.0,35.0,32.3,WR,half-ppr,,33.0,
,77.0,Chris Godwin TB (11) O,,35.0,,36.0,32.0,34.3,WR,half-ppr,,34.0,
,78.0,Calvin Ridley TEN (5),,34.0,,37.0,34.0,35.0,WR,half-ppr,,35.0,
,82.0,Jayden Reed GB (10),,37.0,,34.0,37.0,36.0,WR,half-ppr,,36.0,
,87.0,Xavier Worthy KC (6),,39.0,,35.0,38.0,37.3,WR,half-ppr,,37.0,
,83.0,Diontae Johnson BAL (14),,36.0,,42.0,36.0,38.0,WR,half-ppr,,38.0,
,89.0,Rome Odunze CHI (7),,38.0,,33.0,44.0,38.3,WR,half-ppr,,39.0,
,100.0,Christian Watson GB (10),,41.0,,44.0,40.0,41.7,WR,half-ppr,,40.0,
,99.0,Jaxon Smith-Njigba SEA (10),,42.0,,46.0,39.0,42.3,WR,half-ppr,,41.0,
,102.0,Marquise Brown KC (6),,40.0,,41.0,49.0,43.3,WR,half-ppr,,42.0,
,103.0,Jordan Addison MIN (6),,44.0,,39.0,48.0,43.7,WR,half-ppr,,43.0,
,108.0,Ladd McConkey LAC (5),,47.0,,40.0,45.0,44.0,WR,half-ppr,,44.0,
,107.0,DeAndre Hopkins KC (6),,46.0,,45.0,41.0,44.0,WR,half-ppr,,45.0,
,109.0,Brian Thomas Jr. JAC (12),,43.0,,47.0,46.0,45.3,WR,half-ppr,,46.0,
,110.0,Courtland Sutton DEN (14),,45.0,,49.0,43.0,45.7,WR,half-ppr,,47.0,
,118.0,Jameson Williams DET (5),,48.0,,48.0,42.0,46.0,WR,half-ppr,,48.0,
,117.0,Keon Coleman BUF (12),,49.0,,43.0,47.0,46.3,WR,half-ppr,,49.0,
,126.0,Khalil Shakir BUF (12),,51.0,,54.0,51.0,52.0,WR,half-ppr,,50.0,
,133.0,Curtis Samuel BUF (12),,56.0,,50.0,53.0,53.0,WR,half-ppr,,51.0,
,136.0,Romeo Doubs GB (10),,60.0,,51.0,50.0,53.7,WR,half-ppr,,52.0,
,138.0,Tyler Lockett SEA (10),,55.0,,52.0,57.0,54.7,WR,half-ppr,,53.0,
,145.0,Jakobi Meyers LV (10),,59.0,,55.0,55.0,56.3,WR,half-ppr,,54.0,
,142.0,Joshua Palmer LAC (5),,63.0,,56.0,52.0,57.0,WR,half-ppr,,55.0,
,153.0,Dontayvion Wicks GB (10),,52.0,,64.0,59.0,58.3,WR,half-ppr,,56.0,
,148.0,Jerry Jeudy CLE (10),,64.0,,58.0,54.0,58.7,WR,half-ppr,,57.0,
,156.0,Brandin Cooks DAL (7),,54.0,,62.0,62.0,59.3,WR,half-ppr,,58.0,
,161.0,Mike Williams PIT (9),,67.0,,57.0,56.0,60.0,WR,half-ppr,,59.0,
,160.0,Adam Thielen CAR (11),,53.0,,68.0,60.0,60.3,WR,half-ppr,,60.0,
,162.0,Rashid Shaheed NO (12) O,,58.0,,60.0,64.0,60.7,WR,half-ppr,,61.0,
,170.0,Xavier Legette CAR (11),,57.0,,59.0,67.0,61.0,WR,half-ppr,,62.0,
,163.0,Adonai Mitchell IND (14),,66.0,,53.0,65.0,61.3,WR,half-ppr,,63.0,
,167.0,Gabe Davis JAC (12) O,,65.0,,61.0,58.0,61.3,WR,half-ppr,,64.0,
,181.0,Jahan Dotson PHI (5),,50.0,,65.0,73.0,62.7,WR,half-ppr,,65.0,
